Labs waren opmerkelijk voor Cr 1,7 (basislijn 0,5 volgens oude gegevens) en lactaat 2,4. 	 De patiënt heeft een verhoogde Cr 	 entailment 
Haar stamcelcollecties werden in acht dagen voltooid, waarbij meer dan 5 miljoen CD34 cellen/kg werden verzameld. 	 De patiënt heeft nog nooit bloed afgenomen. 	 contradiction 
Haar stamcelcollecties werden in acht dagen voltooid, waarbij meer dan 5 miljoen CD34 cellen/kg werden verzameld. 	 De patiënt doneert stamcellen. 	 neutral 
De thoracocentese procedure werd afgebroken en de moeder werd opgenomen voor een keizersnede. 	 De patiënt heeft ernstige symptomen 	 entailment 
De thoracocentese procedure werd afgebroken en de moeder werd opgenomen voor een keizersnede. 	 Patiënt heeft negatieve ROS 	 contradiction 
De thoracocentese procedure werd afgebroken en de moeder werd opgenomen voor een keizersnede. 	 Patiënt heeft pleurale effusie 	 neutral 
CT-scan van het hoofd toonde een grote ICH in de R-hemisfeer. 	 De patiënt heeft een aneurysma 	 entailment 
CT-scan van het hoofd toonde een grote ICH in de R-hemisfeer. 	 De patiënt heeft normale beeldvorming 	 contradiction 
CT-scan van het hoofd toonde een grote ICH in de R-hemisfeer. 	 De patiënt heeft een trauma gehad 	 neutral 
HTN, polychondritis, Nissen fundoplicatie, voorbijgaande tracheotomie met een anterieure cricoïd split met ribkraakbeentransplantaat, ijzertekort anemie 	 Patiënt heeft ernstige GERD gehad 	 entailment 
HTN, polychondritis, Nissen fundoplicatie, voorbijgaande tracheotomie met een anterieure cricoïd split met ribkraakbeentransplantaat, ijzertekort anemie 	 De patiënt heeft geen chirurgische voorgeschiedenis 	 contradiction 
HTN, polychondritis, Nissen fundoplicatie, voorbijgaande tracheotomie met een anterieure cricoïd split met ribkraakbeentransplantaat, ijzertekort anemie 	 De patiënt heeft chronische medische aandoeningen 	 neutral 
Zij werd gestart met Mestinon 60 mg in de ochtend, 30 mg in de middag en 30 mg in de avond in [**3283-2-26**], met een goed effect op haar symptomen. 	 De patiënt heeft myesthina gravis. 	 entailment 
Zij werd gestart met Mestinon 60 mg in de ochtend, 30 mg in de middag en 30 mg in de avond in [**3283-2-26**], met een goed effect op haar symptomen. 	 De patiënt neemt geen medicatie. 	 contradiction 
Zij werd gestart met Mestinon 60 mg in de ochtend, 30 mg in de middag en 30 mg in de avond in [**3283-2-26**], met een goed effect op haar symptomen. 	 De patiënt heeft een auto-immuunziekte. 	 neutral 
Polymyositis gediagnosticeerd in [**3319**]. 	 De patiënt heeft een auto-immuunziekte 	 entailment 
Polymyositis gediagnosticeerd in [**3319**]. 	 De patiënt heeft geen symptomen 	 contradiction 
Polymyositis gediagnosticeerd in [**3319**]. 	 De patiënt heeft gewrichtspijn 	 neutral 
IJzergebrek anemie 4. ? 	 Verminderde rode bloedcellen als gevolg van een ijzertekort. 	 entailment 
IJzergebrek anemie 4. ? 	 De aandoening wordt veroorzaakt door een teveel aan ijzer in de voeding. 	 contradiction 
IJzergebrek anemie 4. ? 	 Veroorzaakt door een ijzerarm dieet. 	 neutral 
Gesaneerd van de bipap. 	 Bipap voegt eind expiratoire druk toe. 	 entailment 
Gesaneerd van de bipap. 	 Een patiënt van de bipap afhalen betekent de pieptoon verhogen. 	 contradiction 
Gesaneerd van de bipap. 	 Bipap helpt alle mensen beter te ademen tijdens een CHF exacerbatie. 	 neutral 
Pt bleek ook L nierslagader stenose te hebben 	 Patiënt heeft vernauwing van de linker nierslagader 	 entailment 
Pt bleek ook L nierslagader stenose te hebben 	 De nieren leken normaal 	 contradiction 
Pt bleek ook L nierslagader stenose te hebben 	 De patiënt heeft een voorgeschiedenis van hypertensie 	 neutral 
Ze volgde bevelen op de plaats delict. 	 Ze reageerde op de plaats delict 	 entailment 
Ze volgde bevelen op de plaats delict. 	 Ze was niet aanspreekbaar op de plaats delict 	 contradiction 
Ze volgde bevelen op de plaats delict. 	 Ze was betrokken bij een auto-ongeluk 	 neutral 
Chronisch sacraal decubitus ulcus met pseudomonale infectie. 	 De patiënt heeft een geïnfecteerde wond 	 entailment 
Chronisch sacraal decubitus ulcus met pseudomonale infectie. 	 De patiënt heeft geen breuken in de huid 	 contradiction 
Chronisch sacraal decubitus ulcus met pseudomonale infectie. 	 De patiënt heeft een verminderde mobiliteit 	 neutral 
Röntgenfoto en CT van buik en bekken waren onopvallend. 	 Beeldvorming van abdomen en pelvis waren negatief 	 entailment 
Röntgenfoto en CT van buik en bekken waren onopvallend. 	 Beeldvorming toonde appendicitis 	 contradiction 
Röntgenfoto en CT van buik en bekken waren onopvallend. 	 De patiënt heeft buikpijn 	 neutral 
Volgens de aantekeningen had ze pijn op de borst bij aankomst op de eerste hulp van OSH. 	 De patiënt heeft symptomen van acuut coronair syndroom. 	 entailment 
Volgens de aantekeningen had ze pijn op de borst bij aankomst op de eerste hulp van OSH. 	 De patiënt is asymptomatisch. 	 contradiction 
Volgens de aantekeningen had ze pijn op de borst bij aankomst op de eerste hulp van OSH. 	 De patiënt heeft een acuut coronair syndroom. 	 neutral 
Hij werd hierheen overgeplaatst waar zijn sx niet compatibel leken met ACS, en zijn heparine gtt werd stopgezet. . 	 De patiënt werd aanvankelijk behandeld voor acuut coronair syndroom. 	 entailment 
Hij werd hierheen overgeplaatst waar zijn sx niet compatibel leken met ACS, en zijn heparine gtt werd stopgezet. . 	 De patiënt kreeg geen antistolling. 	 contradiction 
Hij werd hierheen overgeplaatst waar zijn sx niet compatibel leken met ACS, en zijn heparine gtt werd stopgezet. . 	 De patiënt heeft geen coronaire hartziekte. 	 neutral 
Chronische nierinsufficiëntie. 	 Nier disfunctie 	 entailment 
Chronische nierinsufficiëntie. 	 Normale nierfunctie 	 contradiction 
Chronische nierinsufficiëntie. 	 De patiënt heeft diabetes 	 neutral 
Het hematocriet van de patiënt daalde van 29,7 naar 22,8. 	 De patiënt heeft een bloeding. 	 entailment 
Het hematocriet van de patiënt daalde van 29,7 naar 22,8. 	 De patiënt heeft een hoog hemoglobine gehalte. 	 contradiction 
Het hematocriet van de patiënt daalde van 29,7 naar 22,8. 	 De patiënt heeft een GI bloeding. 	 neutral 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënt is een 83-jarige demente bewoner van het [**Locatie 211**] Alzheimercentrum die in de middag van opname om ongeveer 18.00 uur in het [**Ziekenhuis1 58**] werd opgenomen wegens het plotseling optreden van een epilepticus. 	 De patiënt heeft een neurologisch probleem. 	 entailment 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënt is een 83-jarige demente bewoner van het [**Locatie 211**] Alzheimercentrum die in de middag van opname om ongeveer 18.00 uur in het [**Ziekenhuis1 58**] werd opgenomen wegens het plotseling optreden van een epilepticus. 	 De patiënt heeft een normaal neurologisch onderzoek. 	 contradiction 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënt is een 83-jarige demente bewoner van het [**Locatie 211**] Alzheimercentrum die in de middag van opname om ongeveer 18.00 uur in het [**Ziekenhuis1 58**] werd opgenomen wegens het plotseling optreden van een epilepticus. 	 De patiënt heeft een hersenbloeding gehad. 	 neutral 
Verdere progressie van zijn ziekte gedurende verscheidene maanden met vooral toenemende abdominale betrokkenheid en behandeld met een nieuwe cyclus ESHAP in [**2-20**]. 	 Hij heeft kanker, die voortschrijdt 	 entailment 
Verdere progressie van zijn ziekte gedurende verscheidene maanden met vooral toenemende abdominale betrokkenheid en behandeld met een nieuwe cyclus ESHAP in [**2-20**]. 	 Hij is in remissie van kanker 	 contradiction 
Verdere progressie van zijn ziekte gedurende verscheidene maanden met vooral toenemende abdominale betrokkenheid en behandeld met een nieuwe cyclus ESHAP in [**2-20**]. 	 Hij heeft lymfeklierkanker 	 neutral 
Zij werd gezien in [**Ziekenhuis1 22**] [**2755-6-8**], en toen werden de opties voor behandeling met Sutent versus inschrijving in een proef met perifosine besproken. 	 Ze werd gediagnosticeerd met kanker 	 entailment 
Zij werd gezien in [**Ziekenhuis1 22**] [**2755-6-8**], en toen werden de opties voor behandeling met Sutent versus inschrijving in een proef met perifosine besproken. 	 Ze weigerde behandeling voor haar kanker 	 contradiction 
Zij werd gezien in [**Ziekenhuis1 22**] [**2755-6-8**], en toen werden de opties voor behandeling met Sutent versus inschrijving in een proef met perifosine besproken. 	 Ze heeft kanker van het spijsverteringskanaal 	 neutral 
Chronische obstructieve longziekte. 25 jaar gerookt. 	 Voorgeschiedenis van longziekte 	 entailment 
Chronische obstructieve longziekte. 25 jaar gerookt. 	 Levenslang niet-roker 	 contradiction 
Chronische obstructieve longziekte. 25 jaar gerookt. 	 De patiënt is afhankelijk van zuurstof 	 neutral 
Status na hysterectomie. 	 de patiënt heeft geen baarmoeder 	 entailment 
Status na hysterectomie. 	 de patiënt heeft een baarmoeder 	 contradiction 
Status na hysterectomie. 	 de patiënt had vleesbomen 	 neutral 
Op OSH ED, ETOH niveau was 240 en INR was 8,0. 	 De patiënt is coagulopathisch. 	 entailment 
Op OSH ED, ETOH niveau was 240 en INR was 8,0. 	 De patiënt loopt geen risico op intracraniële bloedingen. 	 contradiction 
Op OSH ED, ETOH niveau was 240 en INR was 8,0. 	 De patiënt is een alcoholist. 	 neutral 
7) GERD 8) h/o MRSA 	 Voorgeschiedenis van gastro-oesofageale refluxziekte 	 entailment 
7) GERD 8) h/o MRSA 	 Geen geschiedenis van staph aureus infectie 	 contradiction 
7) GERD 8) h/o MRSA 	 Geschiedenis van hiatale hernia 	 neutral 
60 jaar oude vrouw, onlangs gediagnosticeerd en behandeld voor een glioblastoma multiforme. 	 Voorgeschiedenis van kanker 	 entailment 
60 jaar oude vrouw, onlangs gediagnosticeerd en behandeld voor een glioblastoma multiforme. 	 Geen voorgeschiedenis van kanker 	 contradiction 
60 jaar oude vrouw, onlangs gediagnosticeerd en behandeld voor een glioblastoma multiforme. 	 Voorgeschiedenis van toevallen en hoofdpijn 	 neutral 
ICP drainerende serosanguinous drainage. 	 Er is bloed vermengd met vloeistoffen in de afvoer 	 entailment 
ICP drainerende serosanguinous drainage. 	 ICP voert geen vloeistof af 	 contradiction 
ICP drainerende serosanguinous drainage. 	 Patiënt had recent trauma 	 neutral 
Patiënt krijgt daptomycine en imipenem voor een brede dekking. 	 De patiënt kreeg antibiotica 	 entailment 
Patiënt krijgt daptomycine en imipenem voor een brede dekking. 	 De patiënt kreeg alleen medicatie tegen de pijn 	 contradiction 
Patiënt krijgt daptomycine en imipenem voor een brede dekking. 	 De patiënt heeft koorts 	 neutral 
Initiële labo's wezen op verhoogde witte bloedcellen met linkse verschuiving, verhoogd BUN en creatinine met pre-renale azotemie. 	 Creatinine was verhoogd 	 entailment 
Initiële labo's wezen op verhoogde witte bloedcellen met linkse verschuiving, verhoogd BUN en creatinine met pre-renale azotemie. 	 Creatinine was binnen de normale grenzen 	 contradiction 
Initiële labo's wezen op verhoogde witte bloedcellen met linkse verschuiving, verhoogd BUN en creatinine met pre-renale azotemie. 	 De patiënt heeft een infectie 	 neutral 
Type 2 diabetes mellitus. 	 De patiënt heeft een chronische medische aandoening 	 entailment 
Type 2 diabetes mellitus. 	 De patiënt heeft een normale baseline nuchtere serum glucose 	 contradiction 
Type 2 diabetes mellitus. 	 Patiënt neemt insuline 	 neutral 
Type 2 diabetes mellitus. 	 Patiënt neemt insuline 	 entailment 
Type 2 diabetes mellitus. 	 De patiënt heeft een normale A1c 	 contradiction 
Type 2 diabetes mellitus. 	 De patiënt heeft verhoogde bloedsuikers 	 neutral 
Keelkanker, status na resectie met reconstructie operatie, chemotherapie en bestralingstherapie ongeveer twee jaar geleden, momenteel in remissie. 	 Voorgeschiedenis van kanker 	 entailment 
Keelkanker, status na resectie met reconstructie operatie, chemotherapie en bestralingstherapie ongeveer twee jaar geleden, momenteel in remissie. 	 Geen chirurgische voorgeschiedenis 	 contradiction 
Keelkanker, status na resectie met reconstructie operatie, chemotherapie en bestralingstherapie ongeveer twee jaar geleden, momenteel in remissie. 	 Geschiedenis van het roken 	 neutral 
CT ABDOMEN W/O CONTRAST:  Er is bibasilar atelectasis. 	 CT toont afwijkingen aan in de long 	 entailment 
CT ABDOMEN W/O CONTRAST:  Er is bibasilar atelectasis. 	 CT is onopvallend 	 contradiction 
CT ABDOMEN W/O CONTRAST:  Er is bibasilar atelectasis. 	 De patiënt klaagt over kortademigheid en hoesten 	 neutral 
Ze controleert haar bloedsuiker onregelmatig (in de orde van weken). 	 Ze heeft bloedsuikercontroles nodig 	 entailment 
Ze controleert haar bloedsuiker onregelmatig (in de orde van weken). 	 Ze controleert haar bloedsuiker niet 	 contradiction 
Ze controleert haar bloedsuiker onregelmatig (in de orde van weken). 	 Ze is hyperglycemisch 	 neutral 
Nier- en cardiologie werden geraadpleegd, die beide van mening waren dat haar voortdurende stijging van creatinine waarschijnlijk het gevolg was van te veel diurese. 	 De patiënt wordt behandeld verhoogd volume status. 	 entailment 
Nier- en cardiologie werden geraadpleegd, die beide van mening waren dat haar voortdurende stijging van creatinine waarschijnlijk het gevolg was van te veel diurese. 	 De patiënt heeft een normale creatinine. 	 contradiction 
Nier- en cardiologie werden geraadpleegd, die beide van mening waren dat haar voortdurende stijging van creatinine waarschijnlijk het gevolg was van te veel diurese. 	 De patiënt heeft congestief hartfalen. 	 neutral 
De patiënte werd gisteren zowel door haar PCP als door haar cardioloog gezien, waar zij werd gepresenteerd met een productieve hoest, piepende ademhaling en vermoeidheid. 	 de patiënt heeft een productieve hoest 	 entailment 
De patiënte werd gisteren zowel door haar PCP als door haar cardioloog gezien, waar zij werd gepresenteerd met een productieve hoest, piepende ademhaling en vermoeidheid. 	 de patiënt ontkent hoest 	 contradiction 
De patiënte werd gisteren zowel door haar PCP als door haar cardioloog gezien, waar zij werd gepresenteerd met een productieve hoest, piepende ademhaling en vermoeidheid. 	 de patiënt heeft bacteriële longontsteking 	 neutral 
Zij bleef echter klachten houden en werd naar het [**Ziekenhuis 1918**] Ziekenhuis gestuurd waar een CT-scan van het hoofd cerebellaire infarcten aantoonde. 	 De patiënt heeft cerebellaire infarcten 	 entailment 
Zij bleef echter klachten houden en werd naar het [**Ziekenhuis 1918**] Ziekenhuis gestuurd waar een CT-scan van het hoofd cerebellaire infarcten aantoonde. 	 de patiënt had een normale hoofd CT 	 contradiction 
Zij bleef echter klachten houden en werd naar het [**Ziekenhuis 1918**] Ziekenhuis gestuurd waar een CT-scan van het hoofd cerebellaire infarcten aantoonde. 	 de patiënt ataxisch is 	 neutral 
Ze had een A-lijn op zijn plaats. 	 De patiënt had een arteriële lijn. 	 entailment 
Ze had een A-lijn op zijn plaats. 	 de patiënt haar bloeddruk niet laat controleren. 	 contradiction 
Ze had een A-lijn op zijn plaats. 	 De patiënt heeft invasieve arteriële bloeddrukcontrole. 	 neutral 
Linker cataract operatie, hoornvlies transplantatie. 	 Geschiedenis van oogchirurgie 	 entailment 
Linker cataract operatie, hoornvlies transplantatie. 	 Geen chirurgische voorgeschiedenis 	 contradiction 
Linker cataract operatie, hoornvlies transplantatie. 	 Het gezichtsvermogen van de patiënt is normaal 	 neutral 
Een 63-jarige tabaksroker zonder noemenswaardige PMHx (omdat hij nooit naar de dokter gaat) was in zijn gebruikelijke gezondheidstoestand tot deze PM toen hij een episode van hemoptoë had. 	 De patiënt heeft een hoog risico op longkanker. 	 entailment 
Een 63-jarige tabaksroker zonder noemenswaardige PMHx (omdat hij nooit naar de dokter gaat) was in zijn gebruikelijke gezondheidstoestand tot deze PM toen hij een episode van hemoptoë had. 	 De patiënt heeft normale longen. 	 contradiction 
Een 63-jarige tabaksroker zonder noemenswaardige PMHx (omdat hij nooit naar de dokter gaat) was in zijn gebruikelijke gezondheidstoestand tot deze PM toen hij een episode van hemoptoë had. 	 De patiënt heeft COPD. 	 neutral 
Haar diarree is gestabiliseerd op immodium. 	 Patiënt heeft acute GI ziekte 	 entailment 
Haar diarree is gestabiliseerd op immodium. 	 De patiënt heeft normale stoelgang 	 contradiction 
Haar diarree is gestabiliseerd op immodium. 	 Patiënt heeft misselijkheid 	 neutral 
PRENATALE SCREENS: A bloedgroep positief, antilichaam negatief, HBsAg negatief, RPR niet reagerend, rubella immuun, groep B strep onbekende status. 	 Patiënt heeft A+ bloed 	 entailment 
PRENATALE SCREENS: A bloedgroep positief, antilichaam negatief, HBsAg negatief, RPR niet reagerend, rubella immuun, groep B strep onbekende status. 	 Patiënt is besmet met syphallis 	 contradiction 
